age,annual_premium,policy_tenure_months,claim_amount,num_claims_last_3yrs,vehicle_age,incident_severity,police_report,witness_present,fraud_reported,incident_type_fire,incident_type_natural disaster,incident_type_theft,customer_state_dl,customer_state_ka,customer_state_mh,customer_state_tn,customer_state_ts,channel_branch,channel_online,claim_status_open,claim_status_under review,claim_to_premium_ratio,is_repeat_claimant,tenure_bucket_short,tenure_bucket_mid,tenure_bucket_long
40,27468.95,26,56010.63,0,6.0,3,0,0,1,False,False,False,True,False,False,False,False,False,False,False,False,2.038978228937439,0,True,False,False
64,27360.62,18,111491.65,1,7.0,1,1,1,0,False,False,False,False,False,True,False,False,True,False,False,True,4.074745939750644,0,False,False,False
49,41493.58,106,64926.88,2,14.0,1,1,0,0,False,True,False,False,False,False,False,True,True,False,False,False,1.5647074870983149,0,False,True,False
43,34983.29,1,129108.59,5,3.0,1,1,1,1,False,False,False,False,False,False,False,False,False,True,False,False,3.690473352467636,1,False,False,False
43,40377.19,117,97652.79,3,4.0,1,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,2.4184538732419654,1,False,True,False
30,14772.83,78,53609.93,2,9.0,3,0,0,0,False,False,False,False,False,False,False,False,True,False,False,False,3.6287090077522213,0,False,True,False
23,34983.29,66,46032.71,3,0.0,2,0,0,1,True,False,False,True,False,False,False,False,False,True,True,False,1.3158108968339788,1,False,True,False
49,22588.3,139,10862.67,4,2.0,1,1,1,0,False,False,False,False,False,True,False,False,False,True,False,False,0.480876786797289,1,False,False,True
68,37823.31,97,98082.99,1,7.0,3,1,0,1,False,False,False,False,True,False,False,False,False,False,True,False,2.5931204032538866,0,False,True,False
21,17915.19,133,69043.56,1,8.0,2,1,0,0,True,False,False,False,False,True,False,False,False,True,False,False,3.8536965727646337,0,False,False,True
66,40355.87,128,1000.0,2,10.0,1,1,0,0,False,False,False,False,False,False,True,False,True,False,False,True,0.0247789285938181,0,False,False,True
65,25320.81,6,86495.95999999999,0,1.0,1,1,0,0,False,True,False,False,False,False,True,False,True,False,False,False,3.4158679810013575,0,False,False,False
33,19608.38,39,44453.47,0,7.0,1,0,1,1,False,False,False,False,False,False,False,False,False,True,False,False,2.266949286514923,0,True,False,False
54,43565.84,103,155905.49,2,7.0,1,1,0,1,False,False,True,False,False,False,True,False,False,True,False,True,3.5785356477541175,0,False,True,False
27,37899.73,176,8374.96,1,2.0,1,1,1,0,False,True,False,True,False,False,False,False,False,True,True,False,0.22097094172064755,0,False,False,True
61,27632.28,28,20139.21,1,4.0,1,0,1,0,False,False,False,True,False,False,False,False,False,True,False,True,0.7288027335155292,0,True,False,False
57,52414.15,20,134948.63,0,3.0,3,0,1,1,False,False,True,False,True,False,False,False,False,False,True,False,2.574611157270369,0,False,False,False
38,29712.17,170,146054.34,0,7.0,3,1,0,0,False,False,False,False,False,False,True,False,False,False,False,False,4.915474855089511,0,False,False,True
21,35385.29,175,51475.77,1,7.0,1,1,0,0,True,False,False,False,False,False,False,False,False,False,False,False,1.454681177371236,0,False,False,True
73,38226.96,31,56556.14,2,6.0,1,0,0,0,False,True,False,False,False,True,False,False,False,True,False,False,1.4794443648052369,0,True,False,False
43,27564.01,73,112730.59,0,7.0,1,0,1,1,False,False,True,False,False,False,False,True,False,False,False,False,4.089626305232612,0,False,True,False
68,40653.64,113,1000.0,0,14.0,1,0,0,0,False,True,False,False,False,True,False,False,False,False,False,False,0.024597438324383145,0,False,True,False
56,34983.29,36,1246.28,1,7.0,1,1,0,0,False,False,True,False,True,False,False,False,True,False,False,False,0.035623990082405556,0,True,False,False
62,30060.34,59,72367.0,2,7.0,1,1,0,1,False,False,True,False,False,False,False,True,False,True,True,False,2.4073111843983,0,True,False,False
61,34983.29,72,154745.08,0,15.0,1,0,1,1,False,False,False,False,False,False,True,False,False,False,False,True,4.42327341786842,0,False,True,False
29,22512.97,116,65392.15,0,13.0,1,1,0,0,False,False,True,False,False,False,True,False,False,False,False,False,2.9045143970610248,0,False,True,False
38,6046.64,56,89542.16,2,13.0,1,1,0,0,False,True,False,False,False,True,False,False,False,True,False,False,14.80613264017038,0,True,False,False
44,54331.24,75,136020.52,4,3.0,1,0,0,0,False,False,True,False,True,False,False,False,False,False,True,False,2.503495530462208,1,False,True,False
46,64526.87375,53,179809.81,3,7.0,2,1,0,1,False,False,False,False,True,False,False,False,False,True,False,False,2.7865447836796267,1,True,False,False
20,30136.77,137,59041.82,0,5.0,1,0,1,0,False,False,False,False,False,False,False,False,False,False,False,False,1.9590639917950132,0,False,False,True
49,11757.94,28,86495.95999999999,2,1.0,1,0,0,0,True,False,False,False,False,True,False,False,False,False,False,False,7.355761658788971,0,True,False,False
26,31274.19,42,166992.48,2,1.0,1,1,1,1,False,True,False,False,False,False,False,True,False,True,False,False,5.339455331846106,0,True,False,False
60,31565.32,45,16501.03,3,9.0,1,0,0,0,False,False,False,False,True,False,False,False,False,False,True,False,0.5227416436252309,1,True,False,False
56,32720.91,164,131241.15,1,6.0,1,1,0,0,False,False,False,False,False,True,False,False,False,True,False,False,4.0108034647121755,0,False,False,True
70,21639.34,171,39175.8,0,13.0,1,0,1,0,False,False,False,False,False,False,False,False,False,False,False,False,1.8103135163310744,0,False,False,True
60,41954.73,91,89611.26,1,10.0,1,0,0,0,False,False,False,False,False,True,False,False,False,False,True,False,2.1358527190445735,0,False,True,False
38,34983.29,29,74082.14,0,1.0,1,0,1,0,False,True,False,False,False,False,True,False,False,False,False,False,2.117583063712312,0,True,False,False
73,17067.13,137,41889.48,2,13.0,1,1,1,0,False,False,False,True,False,False,False,False,True,False,False,False,2.4542512858760746,0,False,False,True
41,43390.36,89,40760.41,2,7.0,1,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,0.939366961533356,0,False,True,False
36,59632.22,153,97438.65,0,9.0,1,0,0,0,False,False,False,True,False,False,False,False,False,False,True,False,1.6339659337530321,0,False,False,True
69,37063.52,65,129799.27,0,15.0,1,0,0,0,False,False,False,False,False,False,False,False,False,False,True,False,3.5019816795145333,0,False,True,False
39,30952.1,180,79161.87,1,10.0,1,0,0,1,False,True,False,False,False,True,False,False,False,True,False,False,2.55747792628202,0,False,False,True
22,34983.29,146,88155.09,0,0.0,1,1,1,0,False,False,False,False,False,False,False,True,False,False,False,False,2.5198479088756693,0,False,False,True
44,42383.08,41,110702.83,0,2.0,1,0,0,0,False,False,False,False,True,False,False,False,True,False,False,False,2.6118964950991033,0,True,False,False
63,14231.94,131,41277.16,4,6.0,1,1,0,0,False,False,False,False,True,False,False,False,False,True,False,False,2.9001148041093407,1,False,False,True
28,36972.69,52,118286.16,0,0.0,1,1,1,0,False,True,False,False,False,False,False,False,False,True,False,False,3.199198132509901,0,True,False,False
44,30314.43,63,121870.44,1,2.0,1,0,0,1,False,True,False,False,False,False,True,False,False,True,False,True,4.0200795436515335,0,False,True,False
25,57173.9,46,202163.18,1,12.0,1,1,0,0,False,False,False,False,False,False,False,True,False,False,False,False,3.535872909266129,0,True,False,False
57,32909.93,123,68075.31,1,2.0,1,0,1,1,False,False,True,False,True,False,False,False,True,False,False,False,2.06847117355845,0,False,False,True
45,55014.65,48,64386.32,3,2.0,1,1,0,1,False,False,False,False,False,False,False,True,True,False,False,False,1.170327352307934,1,True,False,False
36,21755.11,115,119603.46,1,8.0,2,1,0,1,False,False,True,False,False,False,True,False,False,False,True,False,5.497465309745171,0,False,True,False
30,42047.11,105,121859.69,2,1.0,2,1,1,0,False,False,False,False,False,False,True,False,False,True,False,False,2.898101484228423,0,False,True,False
50,38832.8,136,60921.08,2,4.0,3,1,0,1,True,False,False,False,False,False,False,False,False,False,False,True,1.5687643238622024,0,False,False,True
56,24571.43,179,66857.68,1,15.0,1,0,1,0,False,True,False,False,False,False,False,True,False,True,False,False,2.720841202925392,0,False,False,True
71,37128.75,2,109350.89,1,10.0,1,1,1,0,False,False,False,False,False,False,False,False,False,True,True,False,2.9451017041590637,0,False,False,False
42,49550.23,179,47758.71,0,15.0,1,1,0,0,False,False,False,False,False,False,False,False,True,False,False,False,0.9638249141343211,0,False,False,True
27,31114.5,20,66525.97,2,5.0,1,1,0,1,False,False,False,False,False,False,False,False,False,False,False,True,2.1380331346113675,0,False,False,False
65,34983.29,95,89031.67,1,9.0,1,1,1,1,False,False,False,False,False,False,False,False,False,True,False,False,2.544904298472257,0,False,True,False
53,34789.25,62,129817.24,2,3.0,1,0,0,1,False,False,False,False,False,False,False,False,False,True,False,False,3.731425902372073,0,False,True,False
57,24170.92,116,57793.06,2,6.0,1,0,0,0,False,False,False,True,False,False,False,False,False,False,False,True,2.390917229578784,0,False,True,False
23,30891.91,130,2092.7,2,2.0,1,1,0,0,False,True,False,False,False,False,False,True,False,True,False,False,0.06774046213192605,0,False,False,True
35,34020.95,155,1000.0,0,13.0,1,1,0,0,False,False,False,False,False,False,False,False,False,True,False,False,0.02939278906705818,0,False,False,True
61,14532.17,73,28326.41,1,2.0,1,1,0,0,False,True,False,False,False,True,False,False,False,True,False,False,1.9490868131316155,0,False,True,False
65,15612.1,168,25907.45,1,3.0,2,1,1,0,False,False,False,False,False,False,False,True,True,False,False,False,1.659340553765748,0,False,False,True
42,40784.8,59,78042.52,1,7.0,1,0,0,1,False,False,False,True,False,False,False,False,False,False,False,False,1.9134728263268097,0,True,False,False
63,28727.38,37,31500.39,2,6.0,1,0,0,0,False,False,False,False,False,False,False,True,False,False,True,False,1.0964902998359114,0,True,False,False
65,5000.0,69,53376.03,0,5.0,3,1,0,0,False,True,False,False,False,False,True,False,False,False,False,False,10.673071385722855,0,False,True,False
40,44418.13,96,50166.14,1,5.0,1,0,0,1,False,False,False,False,False,False,False,True,False,False,False,True,1.1293814174208274,0,False,True,False
69,38268.44,121,65177.15,1,4.0,1,1,1,0,False,False,False,False,False,True,False,False,False,False,False,False,1.703112196049903,0,False,False,True
34,26433.5,150,144512.69,2,14.0,1,1,1,0,True,False,False,False,False,False,True,False,True,False,False,False,5.466821388715505,0,False,False,True
31,19198.04,41,114787.64,0,9.0,1,1,0,0,False,False,True,False,False,False,True,False,False,False,False,False,5.978821857759554,0,True,False,False
56,45029.69,55,85725.82,1,14.0,1,1,0,0,False,False,True,False,False,False,False,True,False,True,True,False,1.9037198852604746,0,True,False,False
54,39192.21,169,64253.82,1,15.0,2,1,0,0,False,False,False,True,False,False,False,False,False,False,False,False,1.6394120308083977,0,False,False,True
25,63591.23,80,65504.53,0,10.0,2,0,0,0,False,False,False,False,False,False,False,False,False,False,True,False,1.0300712838659691,0,False,True,False
65,40042.26,44,99748.59,0,13.0,2,0,1,0,True,False,False,False,False,False,False,True,True,False,False,True,2.491020711100944,0,True,False,False
29,39652.44,178,111287.61,2,1.0,3,1,1,1,False,False,True,False,False,False,False,True,False,True,False,False,2.806505816393231,0,False,False,True
63,32996.86,81,44157.21,1,15.0,1,0,0,0,False,False,True,False,False,False,False,True,False,False,False,True,1.338184051935489,0,False,True,False
18,44801.31,178,86641.63,1,7.0,2,1,0,0,False,False,False,False,True,False,False,False,True,False,False,False,1.9338652404306833,0,False,False,True
63,42501.02,166,1000.0,3,11.0,1,1,0,0,False,False,False,False,False,False,False,False,False,True,False,False,0.023528293478757012,1,False,False,True
62,50020.7,164,86495.95999999999,0,3.0,1,1,1,1,False,True,False,True,False,False,False,False,False,False,False,False,1.7291687407665073,0,False,False,True
62,28744.12,105,119296.72,3,1.0,2,1,0,0,False,False,True,True,False,False,False,False,False,True,False,False,4.150155574233122,1,False,True,False
55,34983.29,144,72396.91,0,14.0,2,1,0,0,False,False,False,False,False,True,False,False,False,True,False,False,2.0694120132207914,0,False,False,True
44,29250.76,173,166743.71,2,7.0,2,0,1,1,False,True,False,False,True,False,False,False,False,False,False,True,5.700296665910017,0,False,False,True
58,44489.62,49,45344.27,2,2.0,1,0,1,0,False,False,True,False,False,False,False,False,True,False,False,False,1.0191871904684626,0,True,False,False
33,52980.49,7,94784.82,1,10.0,1,1,0,1,False,False,False,False,True,False,False,False,False,True,True,False,1.7890176361593457,0,False,False,False
62,29493.91,58,83387.89,0,0.0,1,0,0,0,False,False,False,False,False,False,True,False,False,True,False,False,2.827195946690463,0,True,False,False
49,29902.72,115,80486.6,0,7.0,1,1,0,0,False,False,True,True,False,False,False,False,True,False,False,False,2.6915246664963424,0,False,True,False
44,38768.93,99,79855.5,3,11.0,2,0,0,1,False,False,False,False,False,False,False,False,False,True,False,False,2.059727732291495,1,False,True,False
46,32050.86,15,89819.73,3,11.0,2,1,0,0,False,False,True,False,False,False,True,False,False,False,False,True,2.802325044474798,1,False,False,False
50,46424.64,101,86495.95999999999,2,7.0,1,1,1,1,False,False,True,False,False,True,False,False,False,False,False,False,1.8631075414361544,0,False,True,False
20,7978.67,32,146998.13,2,5.0,1,0,0,0,False,False,False,False,False,True,False,False,False,False,False,False,18.421580090404742,0,True,False,False
25,25079.54,91,84898.74,1,13.0,1,1,0,0,False,True,False,False,False,False,False,True,False,False,False,False,3.3850443411505493,0,False,True,False
31,25611.0,104,121689.22,2,2.0,1,1,0,1,False,False,False,False,False,True,False,False,False,False,True,False,4.751258004060596,0,False,True,False
24,7155.73,115,86495.95999999999,0,1.0,1,1,0,0,False,False,False,False,False,True,False,False,False,True,False,False,12.085961046455573,0,False,True,False
43,23436.34,75,119468.0,1,2.0,2,1,0,0,False,False,True,False,False,False,False,True,False,False,True,False,5.097336131147989,0,False,True,False
56,24018.13,74,50710.38,1,12.0,1,1,1,1,False,False,True,True,False,False,False,False,False,False,False,False,2.1112496580850344,0,False,True,False
55,32586.74,123,134079.7,1,7.0,3,0,0,1,False,False,False,False,False,False,True,False,False,True,False,False,4.114421558537045,0,False,False,True
44,48355.59,135,184478.84,1,0.0,1,0,0,1,False,False,True,False,False,False,False,False,False,False,False,True,3.8149679288800145,0,False,False,True
66,32059.27,146,86495.95999999999,2,2.0,2,1,1,0,False,True,False,False,False,False,False,True,False,True,True,False,2.697917391213486,0,False,False,True
50,22630.24,61,1000.0,1,0.0,1,1,1,0,True,False,False,False,False,True,False,False,False,True,False,False,0.044186708284654305,0,False,True,False
22,34316.55,77,60336.72,1,13.0,1,0,0,0,True,False,False,False,False,False,False,False,False,False,False,True,1.7581884487674673,0,False,True,False
61,47590.08,60,140434.38,1,7.0,1,0,1,1,False,False,False,False,False,False,False,False,False,False,False,False,2.950855076203356,0,True,False,False
50,23288.49,95,109888.46,1,1.0,1,0,1,0,False,False,False,False,True,False,False,False,False,True,False,False,4.718371248146696,0,False,True,False
54,24073.1,23,96201.11,0,3.0,2,1,0,1,False,False,True,False,False,False,False,True,False,False,False,False,3.9960418042626724,0,False,False,False
50,41702.59,78,130390.08,0,9.0,1,1,0,0,False,False,False,False,True,False,False,False,False,True,False,True,3.1265912598891368,0,False,True,False
49,34983.29,34,106800.4,0,9.0,1,1,0,0,True,False,False,False,False,False,False,False,False,True,False,False,3.0528102756980346,0,True,False,False
23,42769.82,96,139797.63,1,13.0,1,1,0,1,False,False,False,False,False,False,False,False,False,True,False,True,3.268528169438884,0,False,True,False
49,34836.24,154,126374.07,1,0.0,1,1,0,0,False,False,False,False,False,True,False,False,False,False,True,False,3.6275568902702973,0,False,False,True
63,43419.96,178,153476.52,0,1.0,1,1,0,0,False,False,False,False,False,False,False,False,True,False,False,True,3.5346183041554124,0,False,False,True
35,22579.06,81,101145.82,1,0.0,1,0,1,1,False,False,False,False,True,False,False,False,False,False,False,False,4.479430966968201,0,False,True,False
52,34854.98,11,125736.67,3,6.0,1,1,0,0,False,False,False,False,False,False,False,True,True,False,False,False,3.6073198917373714,1,False,False,False
19,32471.72,42,71179.28,0,11.0,1,0,1,1,False,False,True,False,False,False,True,False,True,False,True,False,2.191971599545711,0,True,False,False
37,20409.31,19,57934.26,3,10.0,2,1,0,1,False,False,True,False,False,False,False,False,False,False,False,True,2.8384801602719407,1,False,False,False
42,16238.26,137,161804.54,1,3.0,2,1,0,1,False,False,False,False,False,False,True,False,False,False,False,True,9.963787758801818,0,False,False,True
74,43228.99,178,94729.21,0,10.0,1,0,0,0,False,False,False,False,True,False,False,False,False,False,False,False,2.1912845688837774,0,False,False,True
30,30788.57,100,121219.63,1,10.0,1,0,0,1,True,False,False,True,False,False,False,False,True,False,False,False,3.937035496111183,0,False,True,False
33,22732.64,32,90568.3,1,3.0,2,1,0,1,False,False,False,False,False,False,True,False,False,False,False,False,3.98388907363713,0,True,False,False
41,33845.85,4,58606.8,1,11.0,1,0,0,0,False,False,False,False,False,False,False,True,True,False,True,False,1.7315289310526683,0,False,False,False
74,48536.23,176,85494.23,1,6.0,3,1,1,0,False,False,False,False,False,True,False,False,False,True,False,True,1.7614155154713194,0,False,False,True
66,7631.15,57,149619.73,1,0.0,1,1,0,1,False,False,True,False,False,False,False,False,False,True,True,False,19.603877020236762,0,True,False,False
19,17040.34,21,109985.8,1,6.0,1,0,1,1,False,True,False,True,False,False,False,False,False,True,False,True,6.454058190259686,0,False,False,False
31,23925.36,32,7983.71,0,12.0,1,0,0,1,False,False,True,False,False,False,False,False,False,False,False,True,0.3336784199518857,0,True,False,False
64,52534.15,46,206440.68124999997,0,11.0,1,1,0,0,False,True,False,True,False,False,False,False,False,False,True,False,3.92957251002424,0,True,False,False
21,38391.04,119,165203.22,0,4.0,1,0,0,1,False,True,False,False,False,False,False,False,True,False,False,False,4.303059175808318,0,False,True,False
66,44207.81,161,75379.14,0,12.0,1,0,1,1,False,False,False,False,True,False,False,False,False,False,False,True,1.7050705504174395,0,False,False,True
34,21318.07,50,86495.95999999999,2,6.0,1,0,0,0,False,False,False,True,False,False,False,False,True,False,False,True,4.057210750750384,0,True,False,False
70,21565.57,124,170187.2,1,7.0,2,1,0,1,False,False,False,True,False,False,False,False,True,False,False,False,7.891250208076667,0,False,False,True
34,40373.76,12,115707.66,0,1.0,1,1,1,0,False,False,False,True,False,False,False,False,False,False,True,False,2.8658414316270857,0,False,False,False
42,35699.29,2,81849.42,1,15.0,1,1,0,0,False,False,False,False,True,False,False,False,False,True,True,False,2.2926822163069263,0,False,False,False
55,41584.87,10,68286.2,0,13.0,1,0,0,0,False,False,False,True,False,False,False,False,False,False,False,True,1.6420529376925381,0,False,False,False
25,34983.29,167,133705.84,4,7.0,1,1,1,0,False,False,False,False,False,False,False,False,False,True,False,False,3.821882336328678,1,False,False,True
49,38337.72,105,60610.75,0,8.0,1,0,0,0,False,False,False,True,False,False,False,False,True,False,False,False,1.5809278452697428,0,False,True,False
46,36897.43,145,136671.54,1,12.0,1,1,0,1,False,False,True,True,False,False,False,False,True,False,False,False,3.703993367739495,0,False,False,True
62,44333.21,4,109398.79,0,8.0,1,0,1,0,False,False,True,False,False,False,True,False,True,False,False,False,2.467593084437503,0,False,False,False
74,44684.1,5,96010.69,0,3.0,1,0,0,0,False,True,False,False,False,False,False,False,False,False,True,False,2.1486063587191255,0,False,False,False
55,34983.29,153,91548.17,1,15.0,1,0,1,0,False,False,False,False,False,False,True,False,False,True,False,False,2.616836585793223,0,False,False,True
41,8032.78,19,77126.44,0,7.0,1,0,0,0,False,False,False,False,False,False,True,False,False,False,False,True,9.60026786892347,0,False,False,False
41,47020.94,28,132053.81,1,5.0,2,0,0,1,False,True,False,False,False,False,False,True,True,False,False,False,2.8083445727675205,0,True,False,False
41,49252.7,94,46059.57,1,5.0,1,1,0,0,False,False,True,False,False,False,False,False,False,False,True,False,0.935149440549644,0,False,True,False
64,22752.52,110,12013.37,1,14.0,1,0,0,0,False,False,True,False,False,False,False,True,False,False,False,True,0.5279785281574016,0,False,True,False
36,12681.98,42,112649.81,1,8.0,3,0,0,1,False,False,False,False,False,True,False,False,False,False,False,False,8.881967014061365,0,True,False,False
27,36188.42,81,113405.72,0,11.0,1,1,0,1,False,False,False,False,False,False,True,False,False,False,False,False,3.133670558964471,0,False,True,False
37,46170.06,122,106610.85,1,14.0,1,1,0,0,False,True,False,False,True,False,False,False,False,False,False,True,2.309040554841063,0,False,False,True
19,56571.13,80,103347.78,0,14.0,2,0,0,1,False,False,True,False,False,True,False,False,False,False,False,False,1.8268320460976104,0,False,True,False
24,41195.57,69,70575.68,1,13.0,1,1,0,0,False,False,True,False,False,False,True,False,True,False,False,True,1.7131445651907427,0,False,True,False
23,30539.4,13,86495.95999999999,2,14.0,2,1,1,1,False,False,False,False,False,False,True,False,False,True,False,True,2.8321816348181423,0,False,False,False
61,24282.43,82,82949.88,1,15.0,1,1,1,0,False,False,False,False,False,False,False,True,False,False,False,False,3.415904590084679,0,False,True,False
59,35137.42,145,63079.89,1,15.0,3,1,0,0,False,False,False,False,False,False,True,False,True,False,False,False,1.7951828795944724,0,False,False,True
57,31408.82,113,70964.89,0,10.0,3,1,0,0,True,False,False,False,False,False,True,False,False,False,False,False,2.2593217662501726,0,False,True,False
44,22819.19,161,175928.79,1,2.0,1,1,0,1,False,False,False,False,False,False,True,False,False,True,False,False,7.709348169318486,0,False,False,True
58,59585.07,23,6926.08,4,1.0,2,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,0.11623656334441926,1,False,False,False
27,56422.02,2,107490.46,2,12.0,1,1,0,0,False,False,False,True,False,False,False,False,False,True,False,False,1.9050816492984604,0,False,False,False
69,48632.58,99,9440.03,2,5.0,1,1,0,0,False,False,False,True,False,False,False,False,False,False,False,True,0.19410518411352815,0,False,True,False
46,23949.8,33,80129.5,1,12.0,1,0,0,1,False,False,False,False,False,True,False,False,False,False,False,False,3.3455876212903117,0,True,False,False
71,45260.23,107,206440.68124999997,2,14.0,1,0,0,1,False,False,False,True,False,False,False,False,False,True,False,True,4.561093042544358,0,False,True,False
26,42675.52,163,1000.0,2,10.0,1,1,1,0,False,False,True,False,False,False,False,True,False,True,False,False,0.023432088652026926,0,False,False,True
46,40310.55,61,102506.69,2,12.0,1,1,0,0,True,False,False,False,False,False,False,False,False,True,False,False,2.542861537202117,0,False,True,False
57,49995.98,99,67898.29,0,4.0,1,0,1,0,False,False,True,False,False,True,False,False,False,False,True,False,1.3580478260886955,0,False,True,False
46,42624.45,123,86495.95999999999,0,6.0,1,0,0,0,False,True,False,False,False,False,True,False,False,True,False,False,2.029209310400242,0,False,False,True
43,43880.17,28,122780.56,1,15.0,2,1,0,1,False,False,False,False,False,True,False,False,False,True,False,False,2.7980238448519037,0,True,False,False
27,42642.88,162,149575.28,3,13.0,1,1,0,0,False,True,False,True,False,False,False,False,False,False,True,False,3.507543872649487,1,False,False,True
39,39089.5,37,152055.6,2,3.0,2,0,0,1,False,True,False,False,False,False,False,False,False,False,False,True,3.8898351261815534,0,True,False,False
31,13596.67,146,101153.04,3,14.0,2,0,0,1,False,False,False,False,False,False,False,True,False,False,False,False,7.438998004805234,1,False,False,True
35,36003.45,119,87072.62,1,7.0,2,1,1,0,False,False,True,False,False,True,False,False,False,False,False,False,2.41838494963817,0,False,True,False
56,28325.7,26,144767.05,1,13.0,1,0,0,1,False,False,False,False,False,True,False,False,False,False,False,True,5.1106217808639895,0,True,False,False
53,19641.91,131,160707.26,1,8.0,2,0,1,0,False,False,False,False,False,False,True,False,False,False,False,False,8.181438493583691,0,False,False,True
52,55181.8,36,136010.59,2,9.0,2,0,0,0,False,False,False,True,False,False,False,False,False,True,False,False,2.4647279587117725,0,True,False,False
38,55747.94,108,42630.81,1,2.0,2,0,0,0,False,False,False,False,False,False,False,True,False,True,False,False,0.764692745727542,0,False,True,False
72,51310.65,173,94060.52,1,5.0,2,0,0,0,False,True,False,False,True,False,False,False,True,False,True,False,1.8331221077474609,0,False,False,True
22,38062.56,172,104778.23,0,7.0,1,1,0,0,False,False,False,False,True,False,False,False,False,True,False,False,2.752717559786841,0,False,False,True
37,51207.5,157,3567.24,1,13.0,1,1,0,0,False,False,True,False,False,True,False,False,False,False,False,False,0.06966109142036966,0,False,False,True
